Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G_minus_PK,PK,PKatt,CrdY,CrdR,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,Url,xG_Expected,npxG_Expected,xA_Expected,npxG+xA_Expected,xG_Per,xA_Per,xG+xA_Per,npxG_Per,npxG+xA_Per,BO_JK,Rang,Nom,Pays,Club,%,Squad_JK,Nation_JK,winner_Bundesliga,winner_C3,finalist_C3,winner_UCL,finalist_UCL,winner_Club WC,finalist_Club WC,winner_Copa America,finalist_Copa America,winner_Euro,finalist_Euro,winner_Liga,winner_Ligue 1,winner_PL,winner_Serie A,winner_WC,finalist_WC
2001,Barcelona,La Liga,Rivaldo,BRA,"FW,MF",28.0,1972.0,35.0,34.0,2991.0,33.2,23.0,8.0,18.0,5.0,6.0,3.0,0.0,0.69,0.24,0.93,0.54,0.78,https://fbref.com/en/players/5c7f3153/Rivaldo,,,,,,,,,,2001Rivaldo,7,Rivaldo,Brésil,FC Barcelone,2.6143790849673203,2001Barcelona,2001BRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,Arsenal,Premier League,Thierry Henry,FRA,FW,22.0,1977.0,35.0,27.0,2589.0,28.8,17.0,9.0,16.0,1.0,1.0,4.0,0.0,0.59,0.31,0.9,0.56,0.87,https://fbref.com/en/players/c0c5ee74/Thierry-Henry,,,,,,,,,,2001Thierry Henry,9,Thierry Henry,France,Arsenal,1.8300653594771241,2001Arsenal,2001FRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,Juventus,Serie A,Zinédine Zidane,FRA,MF,28.0,1972.0,33.0,33.0,2765.0,30.7,6.0,14.0,5.0,1.0,2.0,2.0,0.0,0.2,0.46,0.65,0.16,0.62,https://fbref.com/en/players/654f4e63/Zinedine-Zidane,,,,,,,,,,2001Zinédine Zidane,9,Zinédine Zidane,France,Juventus Real Madrid,1.8300653594771241,2001Juventus,2001FRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,Bayern Munich,Bundesliga,Bixente Lizarazu,FRA,DF,30.0,1969.0,15.0,13.0,1112.0,12.4,0.0,3.0,0.0,0.0,0.0,4.0,1.0,0.0,0.24,0.24,0.0,0.24,https://fbref.com/en/players/2ab8a20e/Bixente-Lizarazu,,,,,,,,,,2001Bixente Lizarazu,11,Bixente Lizarazu,France,Bayern Munich,1.3071895424836601,2001Bayern Munich,2001FRA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,Juventus,Serie A,David Trezeguet,FRA,FW,22.0,1977.0,25.0,18.0,1593.0,17.7,14.0,2.0,14.0,0.0,0.0,1.0,1.0,0.79,0.11,0.9,0.79,0.9,https://fbref.com/en/players/80183cb2/David-Trezeguet,,,,,,,,,,2001David Trezeguet,12,David Trezeguet,France,Juventus,0.9150326797385621,2001Juventus,2001FRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,Bayern Munich,Bundesliga,Stefan Effenberg,GER,MF,31.0,1968.0,20.0,20.0,1740.0,19.3,4.0,5.0,3.0,1.0,1.0,8.0,1.0,0.21,0.26,0.47,0.16,0.41,https://fbref.com/en/players/c0e1708c/Stefan-Effenberg,,,,,,,,,,2001Stefan Effenberg,13,Stefan Effenberg,Allemagne,Bayern Munich,0.7843137254901961,2001Bayern Munich,2001GER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,Lazio,Serie A,Alessandro Nesta,ITA,DF,24.0,1976.0,29.0,29.0,2537.0,28.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/16cabe2a/Alessandro-Nesta,,,,,,,,,,2001Alessandro Nesta,14,Alessandro Nesta,Italie,Lazio Rome,0.5228758169934641,2001Lazio,2001ITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,Lazio,Serie A,Juan Sebastián Verón,ARG,MF,25.0,1975.0,22.0,22.0,1812.0,20.1,3.0,6.0,3.0,0.0,0.0,3.0,1.0,0.15,0.3,0.45,0.15,0.45,https://fbref.com/en/players/f11a57c1/Juan-Sebastian-Veron,,,,,,,,,,2001Juan Sebastián Verón,16,Juan Sebastián Verón,Argentine,Lazio Rome Manchester United,0.39215686274509803,2001Lazio,2001ARG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,Lazio,Serie A,Hernán Crespo,ARG,FW,25.0,1975.0,32.0,31.0,2610.0,29.0,26.0,3.0,24.0,2.0,2.0,1.0,0.0,0.9,0.1,1.0,0.83,0.93,https://fbref.com/en/players/09089343/Hernan-Crespo,,,,,,,,,,2001Hernán Crespo,16,Hernán Crespo,Argentine,Lazio Rome,0.39215686274509803,2001Lazio,2001ARG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,Bayern Munich,Bundesliga,Giovane Élber,BRA,FW,28.0,1972.0,27.0,24.0,2056.0,22.8,15.0,6.0,15.0,0.0,0.0,5.0,0.0,0.66,0.26,0.92,0.66,0.92,https://fbref.com/en/players/c0f9667c/Giovane-Elber,,,,,,,,,,2001Giovane Élber,18,Giovane Élber,Brésil,Bayern Munich,0.26143790849673204,2001Bayern Munich,2001BRA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,Valencia,La Liga,Gaizka Mendieta,ESP,MF,26.0,1974.0,31.0,31.0,2667.0,29.6,10.0,7.0,5.0,5.0,6.0,5.0,0.0,0.34,0.24,0.57,0.17,0.4,https://fbref.com/en/players/c5589415/Gaizka-Mendieta,,,,,,,,,,2001Gaizka Mendieta,18,Gaizka Mendieta,Espagne,Valence Lazio Rome,0.26143790849673204,2001Valencia,2001ESP,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2001,Roma,Serie A,Damiano Tommasi,ITA,MF,26.0,1974.0,34.0,31.0,2755.0,30.6,3.0,3.0,3.0,0.0,0.0,1.0,0.0,0.1,0.1,0.2,0.1,0.2,https://fbref.com/en/players/46361093/Damiano-Tommasi,,,,,,,,,,2001Damiano Tommasi,18,Damiano Tommasi,Italie,AS Roma,0.26143790849673204,2001Roma,2001ITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,Liverpool,Premier League,Sami Hyypiä,FIN,DF,26.0,1973.0,35.0,35.0,3150.0,35.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.09,0.03,0.11,0.09,0.11,https://fbref.com/en/players/087b932d/Sami-Hyypia,,,,,,,,,,2001Sami Hyypiä,18,Sami Hyypiä,Finlande,Liverpool,0.26143790849673204,2001Liverpool,2001FIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,Schalke 04,Bundesliga,Ebbe Sand,DEN,FW,28.0,1972.0,33.0,33.0,2850.0,31.7,22.0,5.0,22.0,0.0,0.0,3.0,0.0,0.69,0.16,0.85,0.69,0.85,https://fbref.com/en/players/24654dcb/Ebbe-Sand,,,,,,,,,,2001Ebbe Sand,18,Ebbe Sand,Danemark,Schalke 04,0.26143790849673204,2001Schalke 04,2001DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,Brescia,Serie A,Roberto Baggio,ITA,"FW,MF",33.0,1967.0,24.0,24.0,2154.0,23.9,10.0,9.0,7.0,3.0,3.0,2.0,0.0,0.42,0.38,0.79,0.29,0.67,https://fbref.com/en/players/2bd30258/Roberto-Baggio,,,,,,,,,,2001Roberto Baggio,25,Roberto Baggio,Italie,Brescia,0.13071895424836602,2001Brescia,2001ITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,Liverpool,Premier League,Steven Gerrard,ENG,MF,20.0,1980.0,33.0,29.0,2550.0,28.3,7.0,2.0,7.0,0.0,0.0,3.0,1.0,0.25,0.07,0.32,0.25,0.32,https://fbref.com/en/players/caeb5442/Steven-Gerrard,,,,,,,,,,2001Steven Gerrard,25,Steven Gerrard,Angleterre,Liverpool,0.13071895424836602,2001Liverpool,2001ENG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,Fiorentina,Serie A,Rui Costa,POR,MF,28.0,1972.0,29.0,28.0,2550.0,28.3,6.0,8.0,6.0,0.0,0.0,4.0,0.0,0.21,0.28,0.49,0.21,0.49,https://fbref.com/en/players/ecf1642b/Rui-Costa,,,,,,,,,,2001Rui Costa,25,Rui Costa,Portugal,Fiorentina Milan AC,0.13071895424836602,2001Fiorentina,2001POR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,Inter,Serie A,Ronaldo,BRA,FW,24.0,1976.0,10.0,9.0,665.0,7.4,7.0,1.0,7.0,0.0,0.0,0.0,0.0,0.95,0.14,1.08,0.95,1.08,https://fbref.com/en/players/57feb553/Ronaldo,,,,,,,,,,2002Ronaldo,1,Ronaldo,Brésil,Inter Milan Real Madrid,21.666666666666668,2002Inter,2002BRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2002,Real Madrid,La Liga,Roberto Carlos,BRA,DF,28.0,1973.0,31.0,31.0,2722.0,30.2,4.0,5.0,4.0,0.0,0.0,5.0,0.0,0.13,0.17,0.3,0.13,0.3,https://fbref.com/en/players/6a3aaf62/Roberto-Carlos,,,,,,,,,,2002Roberto Carlos,2,Roberto Carlos,Brésil,Real Madrid,18.58974358974359,2002Real Madrid,2002BRA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2002,Bayern Munich,Bundesliga,Oliver Kahn,GER,GK,32.0,1969.0,32.0,32.0,2880.0,32.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/c53142b5/Oliver-Kahn,,,,,,,,,,2002Oliver Kahn,3,Oliver Kahn,Allemagne,Bayern Munich,14.102564102564102,2002Bayern Munich,2002GER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2002,Real Madrid,La Liga,Zinédine Zidane,FRA,MF,29.0,1972.0,31.0,31.0,2647.0,29.4,7.0,7.0,7.0,0.0,0.0,3.0,0.0,0.24,0.24,0.48,0.24,0.48,https://fbref.com/en/players/654f4e63/Zinedine-Zidane,,,,,,,,,,2002Zinédine Zidane,4,Zinédine Zidane,France,Real Madrid,10.0,2002Real Madrid,2002FRA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,Leverkusen,Bundesliga,Michael Ballack,GER,MF,24.0,1976.0,29.0,29.0,2479.0,27.5,17.0,5.0,14.0,3.0,3.0,12.0,1.0,0.62,0.18,0.8,0.51,0.69,https://fbref.com/en/players/9d1b8b6b/Michael-Ballack,,,,,,,,,,2002Michael Ballack,5,Michael Ballack,Allemagne,Bayer Leverkusen Bayern Munich,9.102564102564102,2002Leverkusen,2002GER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2002,Arsenal,Premier League,Thierry Henry,FRA,FW,23.0,1977.0,33.0,31.0,2939.0,32.7,24.0,5.0,20.0,4.0,4.0,4.0,0.0,0.73,0.15,0.89,0.61,0.77,https://fbref.com/en/players/c0c5ee74/Thierry-Henry,,,,,,,,,,2002Thierry Henry,6,Thierry Henry,France,Arsenal,6.923076923076923,2002Arsenal,2002FRA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2002,Real Madrid,La Liga,Raúl,ESP,FW,24.0,1977.0,35.0,34.0,3086.0,34.3,15.0,5.0,15.0,0.0,0.0,2.0,0.0,0.44,0.15,0.58,0.44,0.58,https://fbref.com/en/players/2b81295d/Raul,,,,,,,,,,2002Raúl,7,Raúl,Espagne,Real Madrid,4.871794871794871,2002Real Madrid,2002ESP,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,Barcelona,La Liga,Rivaldo,BRA,"FW,MF",29.0,1972.0,20.0,19.0,1634.0,18.2,8.0,3.0,8.0,0.0,1.0,1.0,0.0,0.44,0.17,0.61,0.44,0.61,https://fbref.com/en/players/5c7f3153/Rivaldo,,,,,,,,,,2002Rivaldo,8,Rivaldo,Brésil,FC Barcelone Milan AC,3.9743589743589745,2002Barcelona,2002BRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2002,Juventus,Serie A,Alessandro Del Piero,ITA,"FW,MF",26.0,1974.0,32.0,31.0,2662.0,29.6,16.0,8.0,12.0,4.0,5.0,2.0,0.0,0.54,0.27,0.81,0.41,0.68,https://fbref.com/en/players/80bc263c/Alessandro-Del-Piero,,,,,,,,,,2002Alessandro Del Piero,,Alessandro Del Piero,Italie,Juventus,1.5384615384615385,2002Juventus,2002ITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2002,Paris S-G,Division 1,Ronaldinho,BRA,"FW,MF",21.0,1980.0,28.0,19.0,1919.0,21.3,9.0,8.0,6.0,3.0,3.0,8.0,0.0,0.42,0.38,0.8,0.28,0.66,https://fbref.com/en/players/34edcab0/Ronaldinho,,,,,,,,,,2002Ronaldinho,12,Ronaldinho,Brésil,Paris Saint-Germain,1.0256410256410255,2002Paris S-G,2002BRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2002,Liverpool,Premier League,Michael Owen,ENG,FW,21.0,1979.0,29.0,25.0,2221.0,24.7,19.0,1.0,18.0,1.0,1.0,1.0,0.0,0.77,0.04,0.81,0.73,0.77,https://fbref.com/en/players/88b3f52c/Michael-Owen,,,,,,,,,,2002Michael Owen,13,Michael Owen,Angleterre,Liverpool,0.6410256410256411,2002Liverpool,2002ENG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,Manchester Utd,Premier League,Ruud van Nistelrooy,NED,FW,25.0,1976.0,32.0,29.0,2730.0,30.3,23.0,4.0,19.0,4.0,4.0,3.0,0.0,0.76,0.13,0.89,0.63,0.76,https://fbref.com/en/players/80a30989/Ruud-van-Nistelrooy,,,,,,,,,,2002Ruud van Nistelrooy,13,Ruud van Nistelrooy,Pays-Bas,Manchester United,0.6410256410256411,2002Manchester Utd,2002NED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,Leverkusen,Bundesliga,Bernd Schneider,GER,"DF,MF",27.0,1973.0,30.0,30.0,2603.0,28.9,5.0,11.0,5.0,0.0,0.0,6.0,0.0,0.17,0.38,0.55,0.17,0.55,https://fbref.com/en/players/5487a63d/Bernd-Schneider,,,,,,,,,,2002Bernd Schneider,15,Bernd Schneider,Allemagne,Bayer Leverkusen,0.5128205128205128,2002Leverkusen,2002GER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2002,La Coruña,La Liga,Juan Carlos Valerón,ESP,MF,26.0,1975.0,36.0,32.0,2562.0,28.5,3.0,9.0,3.0,0.0,0.0,2.0,0.0,0.11,0.32,0.42,0.11,0.42,https://fbref.com/en/players/71e8d6b0/Juan-Carlos-Valeron,,,,,,,,,,2002Juan Carlos Valerón,15,Juan Carlos Valerón,Espagne,Deportivo La Corogne,0.5128205128205128,2002La Coruña,2002ESP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,Arsenal,Premier League,Patrick Vieira,FRA,MF,25.0,1976.0,36.0,36.0,3081.0,34.2,2.0,2.0,2.0,0.0,1.0,11.0,1.0,0.06,0.06,0.12,0.06,0.12,https://fbref.com/en/players/f90f1086/Patrick-Vieira,,,,,,,,,,2002Patrick Vieira,15,Patrick Vieira,France,Arsenal,0.5128205128205128,2002Arsenal,2002FRA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2002,Real Madrid,La Liga,Luís Figo,POR,"FW,MF",28.0,1972.0,28.0,27.0,2331.0,25.9,7.0,5.0,3.0,4.0,4.0,5.0,1.0,0.27,0.19,0.46,0.12,0.31,https://fbref.com/en/players/f20f347f/Luis-Figo,,,,,,,,,,2002Luís Figo,19,Luís Figo,Portugal,Real Madrid,0.38461538461538464,2002Real Madrid,2002POR,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,Leverkusen,Bundesliga,Lúcio,BRA,DF,23.0,1978.0,29.0,29.0,2572.0,28.6,4.0,1.0,4.0,0.0,0.0,7.0,1.0,0.14,0.03,0.17,0.14,0.17,https://fbref.com/en/players/8abd0414/Lucio,,,,,,,,,,2002Lúcio,19,Lúcio,Brésil,Bayer Leverkusen,0.38461538461538464,2002Leverkusen,2002BRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2002,Lens,Division 1,Papa Bouba Diop,SEN,"DF,MF",23.0,1978.0,5.0,0.0,122.0,1.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/7994a7f9/Papa-Bouba-Diop,,,,,,,,,,2002Papa Bouba Diop,21,Papa Bouba Diop,Sénégal,RC Lens,0.2564102564102564,2002Lens,2002SEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,Leeds United,Premier League,Rio Ferdinand,ENG,DF,22.0,1978.0,31.0,31.0,2790.0,31.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,https://fbref.com/en/players/52465662/Rio-Ferdinand,,,,,,,,,,2002Rio Ferdinand,21,Rio Ferdinand,Angleterre,Leeds United Manchester United,0.2564102564102564,2002Leeds United,2002ENG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,Valencia,La Liga,Rubén Baraja,ESP,MF,26.0,1975.0,17.0,15.0,1246.0,13.8,7.0,0.0,6.0,1.0,1.0,7.0,0.0,0.51,0.0,0.51,0.43,0.43,https://fbref.com/en/players/31a8e5c3/Ruben-Baraja,,,,,,,,,,2002Rubén Baraja,24,Rubén Baraja,Espagne,Valence CF,0.1282051282051282,2002Valencia,2002ESP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,Milan,Serie A,Filippo Inzaghi,ITA,FW,27.0,1973.0,20.0,19.0,1704.0,18.9,10.0,4.0,10.0,0.0,0.0,3.0,0.0,0.53,0.21,0.74,0.53,0.74,https://fbref.com/en/players/27b041d6/Filippo-Inzaghi,,,,,,,,,,2002Filippo Inzaghi,24,Filippo Inzaghi,Italie,Milan AC,0.1282051282051282,2002Milan,2002ITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,La Coruña,La Liga,Roy Makaay,NED,FW,26.0,1975.0,30.0,22.0,1959.0,21.8,12.0,1.0,11.0,1.0,1.0,0.0,0.0,0.55,0.05,0.6,0.51,0.55,https://fbref.com/en/players/22cd2356/Roy-Makaay,,,,,,,,,,2002Roy Makaay,24,Roy Makaay,Pays-Bas,Deportivo La Corogne,0.1282051282051282,2002La Coruña,2002NED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,Arsenal,Premier League,Thierry Henry,FRA,FW,24.0,1977.0,37.0,37.0,3301.0,36.7,24.0,20.0,20.0,4.0,5.0,9.0,0.0,0.65,0.55,1.2,0.55,1.09,https://fbref.com/en/players/c0c5ee74/Thierry-Henry,,,,,,,,,,2003Thierry Henry,2,Thierry Henry,France,Arsenal,16.41025641025641,2003Arsenal,2003FRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,Milan,Serie A,Paolo Maldini,ITA,DF,34.0,1968.0,28.0,27.0,2424.0,26.9,2.0,1.0,2.0,0.0,0.0,4.0,0.0,0.07,0.04,0.11,0.07,0.11,https://fbref.com/en/players/14323e81/Paolo-Maldini,,,,,,,,,,2003Paolo Maldini,3,Paolo Maldini,Italie,Milan AC,15.76923076923077,2003Milan,2003ITA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,Real Madrid,La Liga,Zinédine Zidane,FRA,MF,30.0,1972.0,33.0,32.0,2703.0,30.0,9.0,9.0,9.0,0.0,0.0,4.0,0.0,0.3,0.3,0.6,0.3,0.6,https://fbref.com/en/players/654f4e63/Zinedine-Zidane,,,,,,,,,,2003Zinédine Zidane,5,Zinédine Zidane,France,Real Madrid,8.205128205128204,2003Real Madrid,2003FRA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2003,Manchester Utd,Premier League,Ruud van Nistelrooy,NED,FW,26.0,1976.0,34.0,33.0,2907.0,32.3,25.0,4.0,16.0,9.0,9.0,5.0,0.0,0.77,0.12,0.9,0.5,0.62,https://fbref.com/en/players/80a30989/Ruud-van-Nistelrooy,,,,,,,,,,2003Ruud van Nistelrooy,6,Ruud van Nistelrooy,Pays-Bas,Manchester United,7.82051282051282,2003Manchester Utd,2003NED,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2003,Real Madrid,La Liga,Raúl,ESP,FW,25.0,1977.0,31.0,30.0,2686.0,29.8,16.0,10.0,16.0,0.0,0.0,1.0,0.0,0.54,0.34,0.87,0.54,0.87,https://fbref.com/en/players/2b81295d/Raul,,,,,,,,,,2003Raúl,7,Raúl,Espagne,Real Madrid,4.102564102564102,2003Real Madrid,2003ESP,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2003,Real Madrid,La Liga,Roberto Carlos,BRA,DF,29.0,1973.0,37.0,37.0,3311.0,36.8,5.0,7.0,5.0,0.0,0.0,4.0,0.0,0.14,0.19,0.33,0.14,0.33,https://fbref.com/en/players/6a3aaf62/Roberto-Carlos,,,,,,,,,,2003Roberto Carlos,8,Roberto Carlos,Brésil,Real Madrid,3.4615384615384617,2003Real Madrid,2003BRA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2003,Juventus,Serie A,Gianluigi Buffon,ITA,GK,24.0,1978.0,32.0,32.0,2827.0,31.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/e40d028b/Gianluigi-Buffon,,,,,,,,,,2003Gianluigi Buffon,9,Gianluigi Buffon,Italie,Juventus,2.4358974358974357,2003Juventus,2003ITA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2003,Manchester Utd,Premier League,David Beckham,ENG,MF,27.0,1975.0,31.0,27.0,2516.0,28.0,6.0,8.0,6.0,0.0,0.0,5.0,0.0,0.21,0.29,0.5,0.21,0.5,https://fbref.com/en/players/53539318/David-Beckham,,,,,,,,,,2003David Beckham,,David Beckham,Angleterre,Manchester United Real Madrid,2.1794871794871793,2003Manchester Utd,2003ENG,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2003,Real Madrid,La Liga,Ronaldo,BRA,FW,25.0,1976.0,31.0,29.0,2422.0,26.9,23.0,4.0,23.0,0.0,1.0,1.0,0.0,0.85,0.15,1.0,0.85,1.0,https://fbref.com/en/players/57feb553/Ronaldo,,,,,,,,,,2003Ronaldo,11,Ronaldo,Brésil,Real Madrid,1.4102564102564104,2003Real Madrid,2003BRA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2003,Juventus,Serie A,Alessandro Del Piero,ITA,"FW,MF",27.0,1974.0,24.0,20.0,1886.0,21.0,16.0,8.0,10.0,6.0,6.0,1.0,0.0,0.76,0.38,1.15,0.48,0.86,https://fbref.com/en/players/80bc263c/Alessandro-Del-Piero,,,,,,,,,,2003Alessandro Del Piero,13,Alessandro Del Piero,Italie,Juventus,0.5128205128205128,2003Juventus,2003ITA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2003,Milan,Serie A,Dida,BRA,GK,28.0,1973.0,30.0,30.0,2700.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/294919b2/Dida,,,,,,,,,,2003Dida,13,Dida,Brésil,Milan AC,0.5128205128205128,2003Milan,2003BRA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,La Coruña,La Liga,Roy Makaay,NED,FW,27.0,1975.0,38.0,38.0,3232.0,35.9,29.0,3.0,26.0,3.0,4.0,0.0,0.0,0.81,0.08,0.89,0.72,0.81,https://fbref.com/en/players/22cd2356/Roy-Makaay,,,,,,,,,,2003Roy Makaay,13,Roy Makaay,Pays-Bas,Deportivo La Corogne Bayern Munich,0.5128205128205128,2003La Coruña,2003NED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,Milan,Serie A,Alessandro Nesta,ITA,DF,26.0,1976.0,29.0,29.0,2510.0,27.9,1.0,0.0,1.0,0.0,0.0,5.0,0.0,0.04,0.0,0.04,0.04,0.04,https://fbref.com/en/players/16cabe2a/Alessandro-Nesta,,,,,,,,,,2003Alessandro Nesta,13,Alessandro Nesta,Italie,Milan AC,0.5128205128205128,2003Milan,2003ITA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,Roma,Serie A,Francesco Totti,ITA,"FW,MF",25.0,1976.0,24.0,23.0,1933.0,21.5,14.0,6.0,12.0,2.0,3.0,3.0,1.0,0.65,0.28,0.93,0.56,0.84,https://fbref.com/en/players/ed75b6c7/Francesco-Totti,,,,,,,,,,2003Francesco Totti,18,Francesco Totti,Italie,AS Roma,0.38461538461538464,2003Roma,2003ITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,Bayern Munich,Bundesliga,Michael Ballack,GER,MF,25.0,1976.0,26.0,26.0,2237.0,24.9,11.0,6.0,10.0,1.0,1.0,9.0,0.0,0.44,0.24,0.68,0.4,0.64,https://fbref.com/en/players/9d1b8b6b/Michael-Ballack,,,,,,,,,,2003Michael Ballack,,Michael Ballack,Allemagne,Bayern Munich,0.2564102564102564,2003Bayern Munich,2003GER,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,Milan,Serie A,Filippo Inzaghi,ITA,FW,28.0,1973.0,29.0,26.0,2341.0,26.0,16.0,5.0,15.0,1.0,2.0,2.0,0.0,0.62,0.19,0.81,0.58,0.77,https://fbref.com/en/players/27b041d6/Filippo-Inzaghi,,,,,,,,,,2003Filippo Inzaghi,22,Filippo Inzaghi,Italie,Milan AC,0.1282051282051282,2003Milan,2003ITA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,Dortmund,Bundesliga,Jan Koller,CZE,FW,29.0,1973.0,34.0,34.0,3018.0,33.5,13.0,5.0,13.0,0.0,0.0,4.0,0.0,0.39,0.15,0.54,0.39,0.54,https://fbref.com/en/players/f540788d/Jan-Koller,,,,,,,,,,2003Jan Koller,22,Jan Koller,Tchéquie,Borussia Dortmund,0.1282051282051282,2003Dortmund,2003CZE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,Parma,Serie A,Adrian Mutu,ROU,"FW,MF",23.0,1979.0,31.0,31.0,2628.0,29.2,17.0,12.0,13.0,4.0,4.0,6.0,1.0,0.58,0.41,0.99,0.45,0.86,https://fbref.com/en/players/7af7fbd8/Adrian-Mutu,,,,,,,,,,2003Adrian Mutu,22,Adrian Mutu,Roumanie,Parme FC Chelsea FC,0.1282051282051282,2003Parma,2003ROU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,Paris S-G,Ligue 1,Ronaldinho,BRA,"FW,MF",22.0,1980.0,27.0,20.0,1926.0,21.4,8.0,7.0,5.0,3.0,4.0,3.0,1.0,0.37,0.33,0.7,0.23,0.56,https://fbref.com/en/players/34edcab0/Ronaldinho,,,,,,,,,,2003Ronaldinho,22,Ronaldinho,Brésil,Paris SG FC Barcelone,0.1282051282051282,2003Paris S-G,2003BRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
